ts,lat,lon,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
2017-12-20 09:26,1.313,103.85,0.516,0.857,7,-3.637,1,0.0434,0.0842,3.37e-06,0.317,0.249,132.966,4
2017-12-21 05:20,1.327,103.891,0.643,0.783,10,-6.458,1,0.0856,0.047,0.0,0.083,0.579,154.084,4
2017-12-27 09:47,1.351,103.873,0.532,0.769,0,-3.155,1,0.0319,0.0333,0.0,0.295,0.37,126.97,4
2017-12-27 10:25,1.313,103.853,0.661,0.351,0,-8.846,1,0.0274,0.843,0.0,0.104,0.291,109.9,4
2017-12-28 00:46,1.313,103.853,0.621,0.533,1,-5.974,1,0.0342,0.78,0.0,0.333,0.791,96.981,4
2017-12-28 07:25,1.335,103.888,0.613,0.677,3,-5.751,1,0.025,0.134,0.000417,0.0767,0.248,109.995,4
2017-12-28 09:19,1.315,103.852,0.457,0.515,4,-4.31,1,0.0261,0.358,0.0,0.278,0.222,74.984,4
2017-12-29 09:43,1.351,103.873,0.354,0.553,11,-7.193,1,0.0339,0.0196,0.0,0.312,0.161,173.728,4
2017-12-29 10:05,1.313,103.85,0.462,0.864,1,-3.841,1,0.0373,0.0404,0.00018,0.253,0.571,162.005,4
2017-12-30 01:56,1.317,103.85,0.47,0.679,9,-4.724,1,0.0286,0.00469,0.000256,0.105,0.357,149.982,4
2017-12-30 01:56,1.316,103.848,0.47,0.679,9,-4.724,1,0.0286,0.00469,0.000256,0.105,0.357,149.982,4
2017-12-31 05:46,1.313,103.852,0.345,0.193,6,-10.236,0,0.0328,0.74,4.2e-06,0.117,0.268,77.547,4
2018-01-02 11:08,1.313,103.852,0.529,0.379,9,-6.569,1,0.0301,0.769,0.0,0.207,0.412,147.613,4
2018-01-02 11:08,1.312,103.853,0.529,0.379,9,-6.569,1,0.0301,0.769,0.0,0.207,0.412,147.613,4
2018-01-02 11:11,1.313,103.852,0.345,0.193,6,-10.236,0,0.0328,0.74,4.2e-06,0.117,0.268,77.547,4
2018-01-02 11:14,1.313,103.85,0.621,0.533,1,-5.974,1,0.0342,0.78,0.0,0.333,0.791,96.981,4
2018-01-03 00:57,1.326,103.891,0.529,0.379,9,-6.569,1,0.0301,0.769,0.0,0.207,0.412,147.613,4
2018-01-03 11:09,1.312,103.856,0.489,0.887,11,-4.637,0,0.0354,0.00461,0.0,0.343,0.594,94.991,4
2018-01-04 00:55,1.326,103.89,0.291,0.513,9,-6.398,1,0.054,0.0138,1.26e-05,0.229,0.196,123.99,4
2018-01-04 00:55,1.326,103.891,0.291,0.513,9,-6.398,1,0.054,0.0138,1.26e-05,0.229,0.196,123.99,4
2018-01-04 10:12,1.351,103.873,0.632,0.793,6,-7.184,0,0.0274,0.00853,0.00089,0.157,0.609,136.012,4
2018-01-04 10:23,1.322,103.86,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,3
2018-01-05 00:24,1.309,103.847,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,3
2018-01-05 00:43,1.312,103.841,0.36,0.952,3,-3.927,1,0.0477,0.000364,0.109,0.315,0.527,150.018,4
2018-01-05 00:56,1.321,103.825,0.342,0.2,4,-13.569,1,0.0324,0.134,0.000153,0.341,0.0743,133.113,4
2018-01-05 01:23,1.352,103.75,0.342,0.48,0,-7.376,1,0.0327,0.486,5.06e-06,0.101,0.413,151.987,3
2018-01-05 08:52,1.315,103.856,0.666,0.639,11,-9.81,1,0.0628,0.277,0.876,0.568,0.642,120.042,4
2018-01-05 10:24,1.312,103.853,0.342,0.48,0,-7.376,1,0.0327,0.486,5.06e-06,0.101,0.413,151.987,3
2018-01-05 10:27,1.312,103.854,0.565,0.468,10,-5.626,1,0.028,0.77,9.28e-06,0.299,0.284,120.977,4
2018-01-05 10:34,1.313,103.85,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,3
2018-01-06 06:37,1.336,103.888,0.342,0.48,0,-7.376,1,0.0327,0.486,5.06e-06,0.101,0.413,151.987,3
2018-01-06 06:37,1.335,103.888,0.342,0.48,0,-7.376,1,0.0327,0.486,5.06e-06,0.101,0.413,151.987,3
2018-01-06 06:41,1.337,103.888,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,3
2018-01-06 06:51,1.337,103.893,0.621,0.533,1,-5.974,1,0.0342,0.78,0.0,0.333,0.791,96.981,4
2018-01-06 07:10,1.335,103.888,0.457,0.406,9,-7.462,1,0.0291,0.08,0.0,0.117,0.208,151.95,3
2018-01-06 07:16,1.335,103.888,0.529,0.379,9,-6.569,1,0.0301,0.769,0.0,0.207,0.412,147.613,4
2018-01-06 07:16,1.335,103.889,0.529,0.379,9,-6.569,1,0.0301,0.769,0.0,0.207,0.412,147.613,4
2018-01-07 01:06,1.315,103.851,0.342,0.48,0,-7.376,1,0.0327,0.486,5.06e-06,0.101,0.413,151.987,3
2018-01-07 01:13,1.312,103.848,0.342,0.435,5,-7.276,1,0.0291,0.821,0.0,0.0988,0.248,145.816,3
